event,id,send_time,received_time,time_delta
DHT11DATA,6ac249b8-4b47-4ab6-9588-94b6d895c083,2019-10-25 09:26:14.627,2019-10-25 09:26:16.053374,0:00:01.426374
DHT11DATA,6ac249b8-4b47-4ab6-9588-94b6d895c083,2019-10-25 09:26:14.627,2019-10-25 09:26:16.057783,0:00:01.430783
DHT11DATA,a49ee04d-b01c-4f95-b5c7-46e956f235b9,2019-10-25 09:26:19.722,2019-10-25 09:26:20.869665,0:00:01.147665
DHT11DATA,a49ee04d-b01c-4f95-b5c7-46e956f235b9,2019-10-25 09:26:19.722,2019-10-25 09:26:21.072413,0:00:01.350413
DHT11DATA,d838de2f-e544-4ef7-8632-517d17dde894,2019-10-25 09:26:24.816,2019-10-25 09:26:25.078381,0:00:00.262381
DHT11DATA,d838de2f-e544-4ef7-8632-517d17dde894,2019-10-25 09:26:24.816,2019-10-25 09:26:25.084718,0:00:00.268718
DHT11DATA,05165714-d8f6-426d-a121-c460e14a283e,2019-10-25 09:26:29.910,2019-10-25 09:26:30.240637,0:00:00.330637
DHT11DATA,05165714-d8f6-426d-a121-c460e14a283e,2019-10-25 09:26:29.910,2019-10-25 09:26:30.240634,0:00:00.330634
DHT11DATA,7423e876-12b5-4e4e-a8b1-628c6002b393,2019-10-25 09:26:35.003,2019-10-25 09:26:35.311228,0:00:00.308228
DHT11DATA,7423e876-12b5-4e4e-a8b1-628c6002b393,2019-10-25 09:26:35.003,2019-10-25 09:26:35.311231,0:00:00.308231
DHT11DATA,0e55cd9b-880f-4f4d-8e7a-74a322e65827,2019-10-25 09:26:40.098,2019-10-25 09:26:40.449739,0:00:00.351739
DHT11DATA,0e55cd9b-880f-4f4d-8e7a-74a322e65827,2019-10-25 09:26:40.098,2019-10-25 09:26:40.450744,0:00:00.352744
DHT11DATA,3ed16d44-757e-4005-9c07-be7580f0bdff,2019-10-25 09:26:45.191,2019-10-25 09:26:46.158377,0:00:00.967377
DHT11DATA,3ed16d44-757e-4005-9c07-be7580f0bdff,2019-10-25 09:26:45.191,2019-10-25 09:26:46.158376,0:00:00.967376
DHT11DATA,c3158cd2-e243-4013-8df6-b22d984b7176,2019-10-25 09:26:50.285,2019-10-25 09:26:50.634498,0:00:00.349498
DHT11DATA,c3158cd2-e243-4013-8df6-b22d984b7176,2019-10-25 09:26:50.285,2019-10-25 09:26:50.636274,0:00:00.351274
DHT11DATA,bdfda64e-c965-468b-9f9b-0ec35f3b0040,2019-10-25 09:26:55.379,2019-10-25 09:26:55.708104,0:00:00.329104
DHT11DATA,bdfda64e-c965-468b-9f9b-0ec35f3b0040,2019-10-25 09:26:55.379,2019-10-25 09:26:55.708358,0:00:00.329358
DHT11DATA,33fa1fdb-5104-48b3-8afc-7c11be277d4d,2019-10-25 09:27:00.473,2019-10-25 09:27:00.719602,0:00:00.246602
DHT11DATA,33fa1fdb-5104-48b3-8afc-7c11be277d4d,2019-10-25 09:27:00.473,2019-10-25 09:27:00.719518,0:00:00.246518
DHT11DATA,1218e69b-ca46-40dd-aef9-7ff7157a8f81,2019-10-25 09:27:05.567,2019-10-25 09:27:06.026234,0:00:00.459234
DHT11DATA,1218e69b-ca46-40dd-aef9-7ff7157a8f81,2019-10-25 09:27:05.567,2019-10-25 09:27:06.027440,0:00:00.460440
DHT11DATA,3941c0a3-3ed4-4e90-8c80-e4690f2df77e,2019-10-25 09:27:10.658,2019-10-25 09:27:10.962182,0:00:00.304182
DHT11DATA,3941c0a3-3ed4-4e90-8c80-e4690f2df77e,2019-10-25 09:27:10.658,2019-10-25 09:27:10.982552,0:00:00.324552
DHT11DATA,6654a685-609f-40fa-bc64-ad9aea58095d,2019-10-25 09:27:15.757,2019-10-25 09:27:16.981809,0:00:01.224809
DHT11DATA,6654a685-609f-40fa-bc64-ad9aea58095d,2019-10-25 09:27:15.757,2019-10-25 09:27:17.022495,0:00:01.265495
DHT11DATA,5ce3abf6-b957-4d7c-af33-c55349c7a513,2019-10-25 09:27:20.854,2019-10-25 09:27:21.117349,0:00:00.263349
